country,2014_psi,2015_psi,2016_psi,WBCode
Aruba,1.16,1.23,1.28,ABW
Andorra,1.29,1.39,1.4,ADO
Afghanistan,-2.41,-2.57,-2.75,AFG
Angola,-0.33,-0.5,-0.39,AGO
Anguilla,1.16,1.25,1.31,AIA
Albania,0.49,0.35,0.26,ALB
Netherlands Antilles (former),#N/A,#N/A,#N/A,ANT
United Arab Emirates,0.77,0.76,0.44,ARE
Argentina,-0.01,0.01,0.22,ARG
Armenia,-0.3,-0.25,-0.6,ARM
American Samoa,1.08,1.18,1.19,ASM
Antigua and Barbuda,0.98,1,1.01,ATG
Australia,1.03,0.88,0.96,AUS
Austria,1.27,1.14,0.82,AUT
Azerbaijan,-0.56,-0.73,-0.87,AZE
Burundi,-0.78,-1.94,-2.08,BDI
Belgium,0.7,0.59,0.48,BEL
Benin,0.03,-0.01,0.05,BEN
Burkina Faso,-0.79,-0.61,-0.95,BFA
Bangladesh,-0.9,-1.21,-1.24,BGD
Bulgaria,0.08,0.02,0.03,BGR
Bahrain,-0.91,-1.07,-0.86,BHR
"Bahamas, The",0.96,0.91,0.9,BHS
Bosnia and Herzegovina,-0.02,-0.4,-0.38,BIH
Belarus,0.18,0.11,0.12,BLR
Belize,0.05,0.04,0.06,BLZ
Bermuda,0.91,0.98,1,BMU
Bolivia,-0.33,-0.27,-0.21,BOL
Brazil,-0.07,-0.33,-0.45,BRA
Barbados,1.28,1.14,0.96,BRB
Brunei Darussalam,1.26,1.24,1.26,BRN
Bhutan,1.07,0.97,0.99,BTN
South Sudan,-2.65,-2.38,-2.42,SSD
Botswana,1.01,1.04,1.09,BWA
Central African Republic,-2.7,-1.9,-1.74,CAF
Canada,1.18,1.27,1.24,CAN
Switzerland,1.4,1.34,1.32,CHE
Chile,0.45,0.43,0.51,CHL
China,-0.52,-0.55,-0.52,CHN
Côte d'Ivoire,-1.04,-0.83,-0.9,CIV
Cameroon,-1.06,-0.99,-0.95,CMR
"Congo, Rep.",-0.36,-0.53,-0.57,COG
Cook Islands,#N/A,#N/A,#N/A,COK
Colombia,-1.11,-1.07,-0.96,COL
Comoros,-0.19,-0.23,-0.02,COM
Cape Verde,0.35,0.87,0.88,CPV
Costa Rica,0.58,0.68,0.75,CRI
Cuba,0.54,0.64,0.62,CUB
Cayman Islands,1.05,1.15,1.17,CYM
Cyprus,0.55,0.55,0.57,CYP
Czech Republic,0.99,0.98,0.99,CZE
Germany,0.93,0.7,0.76,DEU
Djibouti,-0.77,-0.44,-0.63,DJI
Dominica,1.06,1.08,1.13,DMA
Denmark,0.95,0.9,0.85,DNK
Dominican Republic,0.15,0.24,0.29,DOM
Algeria,-1.19,-1.09,-1.14,DZA
Ecuador,-0.02,-0.14,-0.1,ECU
"Egypt, Arab Rep.",-1.63,-1.5,-1.42,EGY
Eritrea,-0.81,-0.88,-0.88,ERI
Spain,0.24,0.25,0.49,ESP
Estonia,0.78,0.62,0.69,EST
Ethiopia,-1.34,-1.5,-1.57,ETH
Finland,1.28,1.04,0.96,FIN
Fiji,0.55,0.58,0.83,FJI
France,0.3,0.11,-0.06,FRA
"Micronesia, Fed. Sts.",0.98,1.04,1.05,FSM
Gabon,0.15,0.02,-0.07,GAB
United Kingdom,0.42,0.52,0.38,GBR
Georgia,-0.32,-0.47,-0.29,GEO
Ghana,-0.11,-0.03,-0.16,GHA
Guinea,-0.96,-0.39,-0.41,GIN
"Gambia, The",-0.15,0.02,-0.52,GMB
Guinea-Bissau,-0.71,-0.52,-0.5,GNB
Equatorial Guinea,-0.37,-0.21,-0.19,GNQ
Greece,-0.14,-0.23,-0.14,GRC
Grenada,0.77,0.79,1.01,GRD
Greenland,1.92,1.94,1.96,GRL
Guatemala,-0.66,-0.66,-0.54,GTM
French Guiana,0.53,0.57,0.56,GUF
Guam,0.75,0.81,0.67,GUM
Guyana,-0.14,-0.14,-0.03,GUY
"Hong Kong SAR, China",1.15,1.05,0.84,HKG
Honduras,-0.53,-0.47,-0.36,HND
Croatia,0.62,0.59,0.68,HRV
Haiti,-0.64,-0.67,-0.67,HTI
Hungary,0.67,0.75,0.71,HUN
Indonesia,-0.42,-0.62,-0.38,IDN
India,-1,-0.95,-0.95,IND
Ireland,1.05,0.91,0.88,IRL
"Iran, Islamic Rep.",-0.87,-0.93,-0.74,IRN
Iraq,-2.48,-2.26,-2.28,IRQ
Iceland,1.25,1.31,1.33,ISL
Israel,-1.04,-1.09,-0.83,ISR
Italy,0.46,0.38,0.35,ITA
Jamaica,0.02,0.1,0.24,JAM
Jordan,-0.54,-0.61,-0.53,JOR
Japan,0.97,1.07,1.01,JPN
Kazakhstan,0.04,-0.04,0.04,KAZ
Kenya,-1.28,-1.24,-1.33,KEN
Kyrgyz Republic,-0.8,-0.88,-0.66,KGZ
Cambodia,0.02,0.06,0.18,KHM
Kiribati,0.8,0.84,0.87,KIR
St. Kitts and Nevis,0.57,0.58,0.62,KNA
"Korea, Rep.",0.11,0.16,0.17,KOR
Kuwait,0.15,-0.21,-0.15,KWT
Lao PDR,0.5,0.54,0.5,LAO
Lebanon,-1.7,-1.7,-1.56,LBN
Liberia,-0.62,-0.82,-0.55,LBR
Libya,-2.35,-2.2,-2.21,LBY
St. Lucia,0.82,0.85,0.86,LCA
Liechtenstein,1.46,1.46,1.46,LIE
Sri Lanka,-0.33,0.09,0.07,LKA
Lesotho,-0.33,-0.31,-0.25,LSO
Lithuania,0.74,0.76,0.8,LTU
Luxembourg,1.38,1.44,1.41,LUX
Latvia,0.49,0.44,0.39,LVA
Kosovo,-0.34,-0.2,-0.2,KSV
"Macao SAR, China",1.21,1.2,1.42,MAC
Morocco,-0.45,-0.34,-0.29,MAR
Monaco,1.02,0.99,1,MCO
Moldova,-0.16,-0.33,-0.28,MDA
Madagascar,-0.56,-0.43,-0.4,MDG
Maldives,0.68,0.42,0.41,MDV
Mexico,-0.85,-0.8,-0.77,MEX
Marshall Islands,0.99,0.92,0.93,MHL
"Macedonia, FYR",0.26,-0.29,-0.38,MKD
Mali,-1.71,-1.69,-1.55,MLI
Malta,1.13,1.06,1.08,MLT
Myanmar,-1.09,-1.17,-0.63,MMR
Mongolia,0.79,0.72,0.82,MNG
Montenegro,0.22,0.14,0.16,MNE
Mozambique,-0.34,-0.51,-1.05,MOZ
Mauritania,-0.59,-0.64,-0.74,MRT
Martinique,0.91,0.98,1,MTQ
Mauritius,0.67,1,1.05,MUS
Malawi,0.08,0.03,-0.06,MWI
Malaysia,0.27,0.26,0.1,MYS
Namibia,0.61,0.73,0.74,NAM
Niger,-1.18,-1.07,-1.08,NER
Nigeria,-2.13,-1.93,-1.85,NGA
Nicaragua,-0.04,-0.09,-0.17,NIC
Niue,#N/A,#N/A,#N/A,NIU
Netherlands,1.05,0.93,0.89,NLD
Norway,1.12,1.16,1.17,NOR
Nepal,-0.72,-1,-0.79,NPL
Nauru,0.6,0.54,0.55,NRU
New Zealand,1.47,1.53,1.49,NZL
Oman,0.73,0.78,0.8,OMN
Pakistan,-2.4,-2.48,-2.47,PAK
Panama,0.21,0.39,0.43,PAN
Palau,0.99,0.92,0.93,PLW
Peru,-0.55,-0.4,-0.16,PER
Philippines,-0.71,-0.86,-1.3,PHL
Papua New Guinea,-0.34,-0.42,-0.5,PNG
Poland,0.84,0.87,0.51,POL
Puerto Rico,0.82,0.86,0.81,PRI
"Korea, Dem. Rep.",-1.13,-1.15,-0.71,PRK
Portugal,0.81,0.92,1.02,PRT
Paraguay,-0.09,0.04,0.2,PRY
Qatar,0.98,1,0.87,QAT
Réunion,0.26,0.29,0.32,REU
Romania,0.05,0.19,0.27,ROM
Russian Federation,-0.94,-1.03,-0.89,RUS
Rwanda,-0.31,0.01,-0.05,RWA
Samoa,1.12,1.18,1.19,WSM
Saudi Arabia,-0.29,-0.63,-0.5,SAU
Sudan,-2.36,-2.16,-2.38,SDN
Senegal,-0.2,-0.12,-0.27,SEN
Singapore,1.19,1.31,1.53,SGP
Solomon Islands,0.47,0.66,0.51,SLB
Sierra Leone,-0.1,-0.1,-0.16,SLE
El Salvador,-0.02,-0.02,-0.06,SLV
San Marino,0.99,0.92,0.93,SMR
Somalia,-2.52,-2.38,-2.33,SOM
São Tomé and Principe,0.18,0.14,0.23,STP
Suriname,0.25,0.26,0.27,SUR
Slovak Republic,1.04,0.87,0.62,SVK
Slovenia,0.97,0.95,0.99,SVN
Sweden,1.07,0.95,0.98,SWE
Swaziland,-0.5,-0.48,-0.49,SWZ
Seychelles,0.36,0.69,0.72,SYC
Syrian Arab Republic,-2.75,-2.97,-2.91,SYR
Chad,-1.57,-0.97,-1.21,TCD
Togo,-0.17,-0.23,-0.2,TGO
Thailand,-0.91,-0.99,-0.93,THA
Tajikistan,-0.69,-0.88,-0.79,TJK
Turkmenistan,0.07,-0.09,-0.31,TKM
Timor-Leste,-0.18,-0.27,-0.08,TMP
Tonga,0.85,0.89,0.91,TON
Trinidad and Tobago,0.25,0.29,0.28,TTO
Tunisia,-0.85,-0.96,-0.99,TUN
Turkey,-1.09,-1.49,-2,TUR
Tuvalu,1.3,1.39,1.4,TUV
"Taiwan, China",0.77,0.92,0.93,TWN
Tanzania,-0.6,-0.42,-0.41,TZA
Uganda,-0.94,-0.8,-0.72,UGA
Ukraine,-2.02,-1.96,-1.89,UKR
Uruguay,0.99,1,1.1,URY
United States,0.58,0.68,0.35,USA
Uzbekistan,-0.27,-0.37,-0.34,UZB
St. Vincent and the Grenadines,0.82,1,1.01,VCT
"Venezuela, RB",-0.85,-0.98,-1.03,VEN
Virgin Islands (U.S.),1.16,1.25,1,VIR
Vietnam,-0.02,0.07,0.17,VNM
Vanuatu,0.64,0.48,0.51,VUT
West Bank and Gaza,-1.99,-2.16,-2.1,WBG
"Jersey, Channel Islands",1.46,1.53,1.32,JEY
"Yemen, Rep.",-2.67,-2.68,-2.79,YEM
Serbia,0.18,0.24,0.05,SRB
South Africa,-0.15,-0.21,-0.13,ZAF
"Congo, Dem. Rep.",-2.17,-2.15,-2.2,ZAR
Zambia,0.16,0.15,0.18,ZMB
Zimbabwe,-0.71,-0.62,-0.61,ZWE
